2012.00,538580.00,49084.60,244639.10,244856.20,2012.00,nan,nan,nan,nan
2013.00,592963.20,53028.10,261951.60,277983.50,2013.00,10.10,8.03,7.08,13.53
2014.00,643563.10,55626.30,277282.80,310654.00,2014.00,8.53,4.90,5.85,11.75
2015.00,688858.20,57774.60,281338.90,349744.70,2015.00,7.04,3.86,1.46,12.58
2016.00,746395.10,60139.20,295427.80,390828.10,2016.00,8.35,4.09,5.01,11.75
2017.00,832035.90,62099.50,331580.50,438355.90,2017.00,11.47,3.26,12.24,12.16
2018.00,919281.10,64745.20,364835.20,489700.80,2018.00,10.49,4.26,10.03,11.71
2019.00,986515.20,70473.60,380670.60,535371.00,2019.00,7.31,8.85,4.34,9.33
2020.00,1013567.00,78030.90,383562.40,551973.70,2020.00,2.74,10.72,0.76,3.10
2021.00,1143669.70,83085.50,450904.50,609679.70,2021.00,12.84,6.48,17.56,10.45
