2000,100280.1,14717.4,45663.7,39899.1
2001,110863.1,15502.5,49659.4,45701.2
2002,121717.4,16190.2,54104.1,51423.1
2003,137422,16970.2,62695.8,57756
2004,161840.2,20904.3,74285,66650.9
2005,187318.9,21806.7,88082.2,77430
2006,219438.5,23317,104359.2,91762.2
2007,270092.3,27674.1,126630.5,115787.7
2008,319244.6,32464.1,149952.9,136827.5
2009,348517.7,33583.8,160168.8,154765.1
2010,412119.3,38430.8,191626.5,182061.9
2011,487940.2,44781.5,227035.1,216123.6
2012,538580,49084.6,244639.1,244856.2
2013,592963.2,53028.1,261951.6,277983.5
2014,643563.1,55626.3,277282.8,310654
2015,688858.2,57774.6,281338.9,349744.7
2016,746395.1,60139.2,295427.8,390828.1
2017,832035.9,62099.5,331580.5,438355.9
2018,919281.1,64745.2,364835.2,489700.8
2019,986515.2,70473.6,380670.6,535371
2020,1013567,78030.9,383562.4,551973.7
2021,1143669.7,83085.5,450904.5,609679.7
